0  122568249
4  125603276
8  128595188
12  126676286
16  126220163
20  126626211
24  125176066
28  124467927
32  125460235
36  125711760
40  125183604
44  124244304
48  122742801
52  122943320
56  123557062
60  124523682
64  125840295
68  126615860
72  126916940
76  127005692
80  126775803
84  127618263
88  128668171
92  129697668
96  130326300
100  131293669
104  132395293
108  132559854
112  132344139
116  132407451
120  132139059
124  131832243
128  131000310
132  129926634
136  129422149
140  128676892
144  128113405
148  128863032
152  130975621
156  131852828
160  131788418
164  131524896
168  131540256
172  131352243
176  130843162
180  130371852
184  130167103
188  130483408
192  130660006
196  130000343
200  130054715
204  130251718
208  130431259
212  131495639
216  131929351
220  131858518
224  131416238
228  130418223
232  130049873
236  129908081
240  130463289
244  131893836
248  133179028
252  134095289
256  134452483
260  134132394
264  134166625
268  134096948
272  133773770
276  133238785
280  132464040
284  131494018
288  131497346
292  131648593
296  132363634
300  133084500
304  133972648
308  134917755
312  135239655
316  135110409
320  135189587
324  134916416
328  134768531
332  134610268
336  134664701
340  134651527
344  134630393
348  134359025
352  134795552
356  135012754
360  135090343
364  135762008
368  136027021
372  135326263
376  135202290
380  135705606
384  135715236
388  135657056
392  135276300
396  135255990
400  134788638
404  136494443
